source,page,text
c1_vector-based_models.pdf,38,"Why do We Need Stopwords?
●
When we perform counting procedure, what happen with very common 
words? such as “and”, “the”, “it”, “is”, etc.
●
Are these words useful?
●
Any text will contain these words"
c1_vector-based_models.pdf,39,"Dimensionality
●
High dimensionality is bad
●
More dimensions → more computation
●
Could it be beneficial to simply not include stopwords?"
c1_vector-based_models.pdf,40,"Distance Consideration
●
Recall that our understanding of feature vectors involves theirs distance to 
each other
●
If we count all the “and”s, “the”s, etc. the vectors which will be close will 
simply by the ones with similar numbers of these words
●
The might overshadow more important words, like “mitochondria” or “voltage”
●
Thus, stopwords are the words we wish to ignore"
c1_vector-based_models.pdf,41,"Stopwords in CountVectorizer
CountVectorizer(stop_words=”english”)
CountVectorizer(stop_words=list_of_user_defined_words)
CountVectorizer(stop_words=None) # default"
c1_vector-based_models.pdf,42,"NLTK Stopwords
import nltk
nltk.download(‘stopwords’)
from nltk.corpus import stopwords
stopwords.words(‘english’)
stopwords.words(‘german’)
中文需使用 jieba 或 CKIP 進行 
tokenization，並使用自定義的停用詞表"
c1_vector-based_models.pdf,43,"Stemming & Lemmatization
●
With basic word tokenization, each variation of a word will have its own vector 
component: “walk”, “walking”, “walks”, “walked”, …
●
“Walk” is no closer to “walking” than it is to “cartwheel” (unless similarity can 
be learned from the data)
●
This also leads to high-dimensional vectors
●
Practical issue: imagine we’re building a search engine, and search for 
“running” (what about “ran” and “run”? How to match them?)
●
Solution: convert words to their root word
●
2 methods: stemming and lemmatization"
c1_vector-based_models.pdf,44,"Stemming & Lemmatization
●
Stemming is very crude - it just cut off the end of the word
●
The result is not necessarily a real word
●
Lemmatization is more sophisticated - it uses actual rules of language
●
The true root word will be returned"
c1_vector-based_models.pdf,45,"Stemming
●
Based on single heuristics
●
Ex: ends with “sses” → remove “es”
●
Ex: “Bosses” → “Boss”
●
Ex: “Replacement” → “Replac”
●
Multiple stemming algorithms
○
Porter Stemmer 
○
Lancaster Stemmer 
○
Snowball Stemmer
from nltk.stem import PorterStemmer
porter = PorterStemmer()
porter.stem(“walking”) # returns “walk”"
c1_vector-based_models.pdf,46,"Lemmatization
●
Think of it as a lookup table
●
Stemming: “Better” → “Better”
●
Lemmatization: “Better” → “Good”
●
Note: “Was” is the past-tense of “Is”, both are derivatives of “Be”
●
Stemming: “Was” → “Wa”
●
Lemmatization: “Was” / “Is” → “Be”
●
Stemming: “Mice” → “Mice”
●
Lemmatization: “Mice” → “Mouse”"
c1_vector-based_models.pdf,47,"How to Use Lemmatization
●
Appear in NLTK, spaCy, and others"
c1_vector-based_models.pdf,48,"Why Does the Part-of-Speech Matter?
“Donal Trump has a devoted following”
“The cat was following the bird as it flew by”
Noun
Verb"
c1_vector-based_models.pdf,49,"Why Stemming & Lemmatization Still Matter in NLP?
●
Misconception: Are These Techniques Outdated?
○
Some believe that NLP today is all about “throwing everything at deep learning”—but this 
approach is inefficient and lacks interpretability.
●
Reality: Stemming & Lemmatization Are Still Essential!
○
These techniques remain crucial preprocessing steps in various NLP applications, such as:
○
Search Engines / Document Retrieval (Google, Bing)
○
Online Advertising (Google Ads, Meta Ads)
○
Social Media Tagging (Twitter, Instagram)
●
Why?
○
They reduce word variations, improve text normalization, and enhance computational 
efficiency—helping both traditional NLP models and modern AI systems."
c1_vector-based_models.pdf,50,"Vector Similarity
●
How is it useful? Given some document, find the “most similar” document
●
E.g. Researchers looking for papers on a subject
●
If we have word vectors: we may find “king” and “queen” are similar
●
“Car”, “vehicle”, “automobile” → similar
●
“Car”, “giraff” → dismilar"
c1_vector-based_models.pdf,51,"Euclidean Distance
●
In a Euclidean space, we can calculate 
the straight-line distance between two 
document vectors.
●
While distance can measure similarity, it 
is sensitive to document length.
●
For best results, this is often used with 
normalized vectors."
c1_vector-based_models.pdf,52,Cosine Similarity
c1_vector-based_models.pdf,53,Cosine Similarity
c1_vector-based_models.pdf,54,Cosine Distance
c1_vector-based_models.pdf,55,Which One Should We Use?
c1_vector-based_models.pdf,56,Which One Should We Use?
c1_vector-based_models.pdf,57,Which One Should We Use?
c1_vector-based_models.pdf,58,"TF-IDF
●
Improve the count vectorizer
●
TF-IDF is popular for document retrieval and text mining
●
Why we need it and how it works"
c1_vector-based_models.pdf,59,"What’s Wrong with the Count Vectorizer?
●
Why don’t we want to keep stopwords?
●
They’re unlikely to be helpful for NLP tasks
●
If you’re building a search engine:
○
Probably every document contain these words
●
If you’re doing spam detection or sentiment analysis:
○
Probably every document contain these words"
c1_vector-based_models.pdf,60,"Stopwords
●
How do we know our list of stopwords is correct?
●
They may be application-specific
●
“Mitochondria” might be useful to differentiate biology and physics
●
But what if all documents are about biology
●
Can we automatically determine which words are important, and which to 
ignore?"
c1_vector-based_models.pdf,61,"The Main Idea Behind TF-IDF 
●
Words that we want to ignore appear in many different documents
●
They won’t help us differentiate between documents
●
We want to somehow scale down these word counts"
c1_vector-based_models.pdf,62,"TF-IDF: Intuitive Idea
●
“Term Frequency - Inverse Document Frequency”"
c1_vector-based_models.pdf,63,TF-IDF Formula
c1_vector-based_models.pdf,64,"TF-IDF
●
Term Frequency
-
This is what we get with the CountVectorizer (after calling “transform”)
●
Inverse Document Frequency
-
Let N(t) be the number of documents term t appears in and N be the 
number of documents"
c1_vector-based_models.pdf,65,"Why Take the Log?
●
The log is a monotonic function: if N/N(t) gets larger, so too will its log
●
i.e. TF-IDF goes down as t appears in more documents
●
The log function squashes its argument
●
Suppose N(t) = 1, and N = 106, if we didn’t take the log, TF-IDF would 
increase by 1 million (relative to TF)
●
With logging, this goes down to 13.8 (better for ML)
●
Deeper reasons: information theory"
c1_vector-based_models.pdf,66,How to Use TF-IDF in Python
c1_vector-based_models.pdf,67,"Term Frequency Variations
●
Binary (1 if word appears, 0 otherwise)
●
Normalize the count 
●
Take the log"
c1_vector-based_models.pdf,68,"Inverse Document Frequency Variations
●
Smooth IDF
●
IDF Max
●
Probabilistic IDF"
c1_vector-based_models.pdf,69,"Normalizing TF-IDF
●
Unlike CountVectorizer, TfidfVectorizer supports it
●
TfidfVectorizer(norm=’l2’) (or ‘l1’; L2 is the default)"
c1_vector-based_models.pdf,70,"Exercise - TF-IDF Recommendation system
●
Data: movie info (keywords, genre. title, synopsis, tagline, production, …)
●
Key step: how to combine movie data into a single string?
○
Recall: TfidfVectorizer expects one string per “Document”
●
Transform the strings using TF-IDF
●
Assume the query is always an existing movie in the database
●
E.g. query = “Scream 3”, then recommend other movies based on this
●
Get TF-IDF representation of Scream 3
●
Compute similarity between Scream 3 and all other vectors
●
Sort by similarity
●
Print out the top 5 closest movies
●
Try movies from other genres"
c1_vector-based_models.pdf,71,"Neural Word Embeddings
●
Previously, we saw how to convert whole documents into vectors
●
Neural word embeddings convert single word into vectors
●
Thus, a document becomes a sequence of vectors
●
More information than “bag of words”
Just think of “word 
embedding” the same as 
“word vector”"
c1_vector-based_models.pdf,72,"Sequence of Vectors
●
Specialized models are designed to handle sequences, including:
○
CNNs 
○
RNNs 
○
Transformers
●
Cutting-edge applications include:
○
Language translation
○
Question answering
○
Chatbots
○
Speech-to-text and text-to-speech
○
Biological sequence analysis"
c1_vector-based_models.pdf,73,"Embedding Methods
●
Word2Vec (Google) – Predicts word context using neural networks.
●
GloVe (Stanford) – Uses word co-occurrence statistics for embeddings.
●
BERT – Contextual embeddings with bidirectional transformer models."
c1_vector-based_models.pdf,74,"Word2Vec
●
Word2Vec learns word representations based on surrounding words.
●
Uses a simple neural network (embedding matrix) with only one hidden layer.
●
Two training methods:
○
Continuous Bag of Words (CBOW): Predicts a target word from surrounding words.
○
Skipgram: Predicts surrounding words given a target word.
●
Once trained, only the embedding matrix is used."
c1_vector-based_models.pdf,75,"Word2Vec Architecture (Skipgram)
https://towardsdatascience.com/implementing-word2vec-in-pytorch-from-the-ground-up-c7fe5bf99889/
Context Matrix"
c1_vector-based_models.pdf,76,"What is the Embedding Matrix?
●
A  V x N matrix storing word embeddings.
○
V = Vocabulary size
○
N = Embedding dimension
●
Each row represents a word vector.
●
Words with similar meanings have similar vectors.
Word
Learned Word Vector (Embedding Matrix)
king
[0.27, -0.63, 0.89, ...]
queen
[0.31, -0.60, 0.85, ...]
apple
[0.12, -0.78, 0.35, ...]"
c1_vector-based_models.pdf,77,"Pros & Cons of Word2Vec
Strengths:
●
Captures semantic meaning and word relationships effectively.
●
Generates dense, low-dimensional vectors (solves the curse of dimensionality).
●
Highly efficient and scalable for training on massive datasets.
●
Provides easily transferable pretrained embeddings for downstream NLP tasks.
Limitations:
●
Cannot handle out-of-vocabulary (OOV) words.
●
Ignores subword information and morphology (e.g., apple vs. apples, solved by FastText).
●
Does not understand context variations and polysemy (e.g., the word ""bank"", solved by 
BERT).
●
Limited by a fixed context window, missing long-distance semantic dependencies."
c1_vector-based_models.pdf,78,"GloVe
●
A word embedding model developed by Stanford University.
●
Uses co-occurrence statistics to learn word relationships.
●
Captures global word meaning by analyzing entire corpora.
●
Unlike Word2Vec, it does not use a neural network."
c1_vector-based_models.pdf,79,"Learning Word Embeddings with GloVe
●
Step 1: Build a word co-occurrence matrix from a large corpus.
●
Step 2: Apply matrix factorization to generate dense word vectors.
Example of Co-Occurrence:
●
If ""ice"" appears 20 times with ""cold"" but only 1 time with ""steam"", GloVe 
assigns a higher similarity between ""ice"" and ""cold"".
●
Context words like ""winter"" or ""freeze"" will also be closer to ""ice"" in vector 
space.
●
Word relationships emerge from co-occurrence patterns."
c1_vector-based_models.pdf,80,Matrix Factorization
c1_vector-based_models.pdf,81,"Pros & Cons of GloVe
Strengths:
●
Similar to Word2Vec
●
Captures both global and local word relationships.
Limitations:
●
Requires pre-computing a co-occurrence matrix (memory-intensive).
●
Cannot learn new words dynamically after training.
●
Does not understand context variations (solved by BERT)."
c1_vector-based_models.pdf,82,"What can We Do with Word Vectors?
●
Can convert a document into a vector (but not sparse like counting/TFIDF)
●
Embeddings are dense and low dimensional (20, 50, 100, 300, … << V)"
c1_vector-based_models.pdf,83,"Word Analogies
●
How do we evaluate our embedding model?
●
We can do arithmetic on vectors (+ and -)
●
King : Man :: ??? : Woman
●
Answer: Queen
●
In math: King - Man ≈ Queen - Woman
●
In code: x = King - Man + Woman
○
Find the closest word vector to x
○
The result will be Queen"
c1_vector-based_models.pdf,84,"Word Analogies
●
France : Paris :: Italy : Rome
●
Japan : Japanese :: China : Chinese
●
Miami : Florida :: Dallas : Texas
●
December : November :: July : June
●
Man : Woman :: He : She"
c1_vector-based_models.pdf,85,"Vector Models & Text Preprocessing Summary
●
Connection between text (strings) and numbers, i.e., turning text into vectors
-
Counting
-
TF-IDF
-
Neural word embeddings (word2vec, GloVe)
●
Text preprocessing:
-
Tokenization
-
Bag of words
-
Stopwords
-
Stemming and lemmatization"
c1_vector-based_models.pdf,86,"NLP in Other Languages
●
Everything in this course can be applied to any language
●
Reminder: many NLP techniques are applied in bioinformatics / genomics
●
Strings of DNA / RNA / etc."
c1_vector-based_models.pdf,87,"Steps of a Typical NLP Analysis
●
Get the text (strings)
●
Tokenize the text
●
Stopwords, stemming / lemmatization
●
Convert text into count vectors / TF-IDF
●
Do ML task (recommend, detect spam, summarize, topic model)"
c1_vector-based_models.pdf,88,"When Working with a New Language …
●
Some questions to ask
-
What is a “word”?
-
What is a “sentence”? How does punctuation work?
-
Boundaries between sentences?
-
Boundaries between words?
-
Stopwords?
●
Find a tokenizer built by others or build one yourself
●
Learn the language!"
c1_vector-based_models.pdf,89,"Multilingual Models
●
Idea: try to make embedding consistent across languages"
c1_vector-based_models.pdf,90,"Multilingual Models
●
Challenge: Different languages have unique grammar, word order, and 
cultural nuances.
●
Methods:
○
Supervised Alignment: Uses parallel corpora (e.g., translations) to align embeddings.
○
Unsupervised Alignment: Learns alignment without direct translations, relying on statistical 
patterns.
○
Joint Training: Trains embeddings on multiple languages at the same time."
c2_probabilistic_models.pdf,1,Probabilistic Models
c2_probabilistic_models.pdf,2,"Introduction to N-Gram Models
●
An N-Gram model predicts words based on the previous N words.
●
Used in speech recognition, autocomplete, translation, and spell checking.
●
Larger N = more context, but higher complexity.
●
Formula:
○
Unigram (n = 1): P(wn)
#只看單字在語料庫中的出現頻率
○
Bigram (n = 2): P(wn|wn-1)
○
Trigram (n = 3): P(wn|wn-1, wn-2)
●
Example: If past sentences include:
○
“I love NLP” (40%)
○
“I love AI” (30%)
○
“I love programming” (30%)
○
Then P(NLP | I love) = 0.4"
c2_probabilistic_models.pdf,3,"Where Are N-Gram Models Used?
●
Speech Recognition → Predicts missing words.
●
Autocomplete & Spell Checking → Suggests next words.
●
Machine Translation → Improves word prediction accuracy.
●
Text Generation → Creates realistic sentences."
c2_probabilistic_models.pdf,4,When Calculating the Probability of a Sequence…
c2_probabilistic_models.pdf,5,"When Calculating the Probability of a Sequence…
Calculating this probability can be a 
nightmare when T becomes large 
due to data sparsity"
c2_probabilistic_models.pdf,6,"The Markov Property
●
The Markov property is a very restrictive assumption on the dependency 
structure of the joint probability
●
The probability of transitioning to the next state depends only on the current 
state, not past states
●
This implies that the joint probability takes the form:"
c2_probabilistic_models.pdf,7,The Markov Property
c2_probabilistic_models.pdf,8,"Why is the Markov Property Useful?
●
Consider a Markov model of the English language
●
Suppose we choose 2000 of the most common words 
●
Suppose we want to get the probability distribution for the 10th word in a 
sentence given the previous nine words
●
Our model is p(x10 | x9, x8, …, x1)
●
Each “x” has 2000 possible values (words)
●
How many probabilities to estimate? 2000 x 2000 x 2000… = 200010
●
Q: Do we have a sufficient amount of data?"
c2_probabilistic_models.pdf,9,"The Markov “Asumption”
●
We assume the Markov property holds, even when it does not
●
Do “ham” and “Python” only depend on “and”? No!
●
“All models are wrong, but some are useful” - George Box"
c2_probabilistic_models.pdf,10,"The Markov Model
●
In this section, we’ll consider sequences of categorical symbols, which we’ll 
refer to as “states”
●
Example, weather: {sunny, rainy, cloudy}
●
Example, POS tags: {noun, verb, adjective}"
c2_probabilistic_models.pdf,11,"Notation
●
We’ll use s for “state”
●
Time will also be discrete (t = 1, 2, ...) (e.g., no such thing as t = 1.5)
●
We’ll number the states from 1, 2, …, M
●
M = total number of possible states (e.g., M = 3 for sunny/rainy/cloudy)
●
We use i or j to index the state space"
c2_probabilistic_models.pdf,12,"State Distribution
●
We have p(st = 1), p(st = 2), …, p(st = M)
●
This is M probability values - together they form a distribution
●
Ex: “What is the probability that it will be rainy on Sunday?”
Ans: p(ssunday = rainy)"
c2_probabilistic_models.pdf,13,"State Transitions
●
“Probability that state at time t is j, given that the state at time t-1 was i”
●
How many of these probability values exist? (for all i and j)
●
Since both i and j can take any value from 1…M, there are M2 values"
c2_probabilistic_models.pdf,14,"State Transition Matrix
●
A is an MxM matrix
●
Convention: first index (row) = previous state, second index (column) = next 
state"
c2_probabilistic_models.pdf,15,"State Transition Matrix
But where is t?
●
In general, we could have Aij(t)
●
When A doesn’t depend on t: time-homogeneous Markov process
●
Note: Natural language is NOT strictly time-homogeneous, but here we drop t 
to prevent parameter explosion and solve the data sparsity issue"
c2_probabilistic_models.pdf,16,"Initial State
●
To quantify the probability of the first state in a sequence, we use the initial 
state distribution"
c2_probabilistic_models.pdf,17,"Recap
●
Given A and 𝜋, and a sequence {s1, s2, …, st}, what is a probability of seeing 
that sequence?
●
How do we find A and 𝜋 given a dataset?"
c2_probabilistic_models.pdf,18,Probability of a Sequence
c2_probabilistic_models.pdf,19,"Training a Markov Model
●
Suppose we flip a coin a bunch of times - how do we estimate p(heads)?
●
That’s just the binary case. What if we have M>2?"
c2_probabilistic_models.pdf,20,"Estimating A and 𝜋 (Training)
Note: the ‘hat’ 
means ‘estimate’
N = number of 
sequences in dataset
Example: 
count(“the cat”) / count(“the”)"
c2_probabilistic_models.pdf,21,"Probability of a Sequence
●
Only involves multiplication
●
What if one of the value is 0? Transition never appears in training set
●
The result becomes 0!"
c2_probabilistic_models.pdf,22,"Add-One Smoothing
●
Give a small probability to every possible transition
●
Add a “fake count” of 1 for each (i, j) transition
Adding M to the denominator ensures 
that each row of A sums to 1"
c2_probabilistic_models.pdf,23,"Add-One Smoothing
●
We can do this for the initial state distribution too"
c2_probabilistic_models.pdf,24,"Add-Epsilon Smoothing
●
We can make it more smooth (𝜀 > 1) or less smooth (𝜀 < 1)"
c2_probabilistic_models.pdf,25,"Computing the Probability of a Sequence
●
This involves multiplying many small numbers together
●
Common to use 20k - 50k vocabulary size in English
●
As you multiply small numbers together, they approach 0!
●
Computers don’t have infinite precision; eventually it just rounds to 0
●
Problematic: what if we want to compare 2 sequences?"
c2_probabilistic_models.pdf,26,"Working with Log Probabilities
●
Solution: compute log probabilities instead
●
We don’t need the actual probability value, since what we usually want to do 
is compare (e.g., is one sequence more likely than another?)"
c2_probabilistic_models.pdf,27,"Working with Log Probabilities
●
Since log(AB) = log(A) + log(B)
●
Note: do not compute the product and then take the log (to avoid log(0))"
c2_probabilistic_models.pdf,28,Build a Text Classifier Using Markov Models
c2_probabilistic_models.pdf,29,"Supervised or Unsupervised?
●
Text classification is an example of supervised learning, but Markov models 
are unsupervised (training data is just text; no labels)
●
Answer: We must apply Bayes’ rule (and build a Bayes classifier)"
c2_probabilistic_models.pdf,30,Bayes Classifier
c2_probabilistic_models.pdf,31,Bayes Classifier
c2_probabilistic_models.pdf,32,"Maximum A Posteriori (MAP)
●
We have p(poem | author), but we want p (author | poem) (a probability 
distribution)
●
Then we can apply the following decision rule:"
c2_probabilistic_models.pdf,33,Apply Bayse Rule (In this example)
c2_probabilistic_models.pdf,34,"How to Find the Probability Distribution
Posterior
Liklihood
Prior"
c2_probabilistic_models.pdf,35,Simplifying the Decision Rule
c2_probabilistic_models.pdf,36,"Simplifying the Decision Rule
p(poem) can be ignored"
c2_probabilistic_models.pdf,37,"Simplifying the Decision Rule
Apply log function"
c2_probabilistic_models.pdf,38,"Simplifying the Decision Rule
Can be computed by 
Markov model"
c2_probabilistic_models.pdf,39,"Maximum Likelihood
●
We can simply take the argmax of the likelihood if the prior is uniform (i.e. we 
have no reason to believe, given no other info, that one author is more likely 
than another)
If p(author) is uniform"
c2_probabilistic_models.pdf,40,"Recap
●
We train a separate Markov model for each class
●
Each model gives us p(x | class = k) for all k
●
General form of decision (MAP): k* = argmaxkp(class = k | x)
●
Posterior can be simplified since we don’t need its actual value
●
Simplified MAP: k* = argmaxklogp(x | class = k) + logp(class = k)
●
Maximum likelihood: k* = argmaxklogp(x | class = k)"
c2_probabilistic_models.pdf,41,"Text Classifier Exercise Prompt
●
You’ll be given poems by 2 authors: Edgar Allan Poe and Robert Frost
●
Build a classifier that can distinguish between the 2 authors
●
Compute train and test accuracy
●
Check for class imbalance, compute F1-score if imbalanced"
c2_probabilistic_models.pdf,42,"Using Markov Models to Generate Text
●
Classifying text: supervised learning (we have labels)
●
Generating text: unsupervised learning (no labels)"
c2_probabilistic_models.pdf,43,"Problem with Markov Assumption
●
Recall: the next word only on a single preceding word"
c2_probabilistic_models.pdf,44,"Extending the Markov Model
●
Instead of depending only on one past state, depend on two"
c2_probabilistic_models.pdf,45,"2nd-Order Markov Model Implementation
●
This is a 3-D array
●
Its shape is MxMxM = M3
●
3rd-order: M4, 4th-order: M5, etc. This grows exponentially!"
c2_probabilistic_models.pdf,46,The Full Model
c2_probabilistic_models.pdf,47,"Storing Word Probabilities in Dictionaries
●
We will not use add-one smoothing, so many words will have zero probability 
(and they will simply not appear in the dictionary)
●
Thus, although there will be V words in the vocabulary, the dictionary will not 
store V items"
c2_probabilistic_models.pdf,48,"Why Use Dictionaries?
●
Sparsity!
●
We use add-one smoothing since many possible transition don’t appear in the 
training corpus
●
This gets worse as the model order gets larger
●
i.e. Transition array will be mostly zeros (out of VxVxV total elements)
-
It’s more efficient to store only the transition which were seen!"
c2_probabilistic_models.pdf,49,"First Order Transitions
●
Recall: used only to model the 2nd word in each line"
c2_probabilistic_models.pdf,50,"First Order Transitions
●
Recall: used only to model the 2nd word in each line
p(cat | the) = 0.05
Exercise: how would you 
store second-order 
transitions?"
c2_probabilistic_models.pdf,51,"Sampling from a Probability Dictionary
●
How do we sample words from a dictionary with probabilities stored as 
dictionary values (with words as keys)?"
